gisId,municipality,sourceLayer,sourceCrs,parkNameEn,parkNameAr,parkType,parkAreaSqm,roadNameEn,roadNameAr,yearOpen,xCoord,yCoord,latitude,longitude
ADM_0001,ADM,PARK_Abu_Dhabi,EPSG:32640,Khalidiya Public Park,حديقة الخالدية العامة,District,66768.25610352,Al Khaleej Al Arabi St,شارع الخَلِيج العَرَبي,1974-01-01 00:00:00+00:00,230911.81084638,2708722.30098517,24.468880970170986,54.34519799330577
ADM_0002,ADM,PARK_Abu_Dhabi,EPSG:32640,Heritage Garden,حديقة التراث,District,91659.75878906,Corniche St,شارع الكورنيش,2006-01-01 00:00:00+00:00,233847.41605754,2712973.76687372,24.50738417296869,54.373191805138234
ADM_0003,ADM,PARK_Abu_Dhabi,EPSG:32640,Old Post office Park,حديقة البريد القديم,Neighbourhood,7910.64257813,Al Zahiyah St,شارع الزَّاهِيَة,1983-01-01 00:00:00+00:00,234346.64774514,2712019.43185675,24.499204893141712,54.3785469740833
ADM_0004,ADM,PARK_Abu_Dhabi,EPSG:32640,Hazza Park,حديقة هزاع,Neighbourhood,15082.94293213,Zayn Al ʻAbideen St,شارع زَين العَابِدين,1984-01-01 00:00:00+00:00,234126.71305641,2711725.99747742,24.496572081333532,54.376457840471
ADM_0005,ADM,PARK_Abu_Dhabi,EPSG:32640,Formal Park,الحديقة الرسمية,District,86487.69525146,Al Falki St,شارع الفَالكي,2005-01-01 00:00:00+00:00,232610.18347936,2711704.29627169,24.496186214632385,54.36141144461938
ADM_0006,ADM,PARK_Abu_Dhabi,EPSG:32640,Recreation Park,حديقة النزهة,Neighbourhood,35099.79156494,Shk. Zayed Bin Sultan St,شارع الشيخ زايد بن سلطان,2006-01-01 00:00:00+00:00,232957.25359094,2711957.96712841,24.498514457708136,54.364835551625006
ADM_0007,ADM,PARK_Abu_Dhabi,EPSG:32640,Capital Park,حديقة العاصمة,District,51873.62072754,Khalifa Bin Zayed The First St,شارع خليفة بن زايد الأول,1976-01-01 00:00:00+00:00,232820.58493692,2711304.8035043,24.49247577331041,54.363656170238606
ADM_0008,ADM,PARK_Abu_Dhabi,EPSG:32640,Lake Park,حديقة البحيرة,District,103343.65026855,Al Marakib St,شارع المَراكِب,2005-01-01 00:00:00+00:00,232089.69837376,2711344.71979525,24.492783941347586,54.35653102543824
ADM_0009,ADM,PARK_Abu_Dhabi,EPSG:32640,Lake Park,حديقة البحيرة,District,103343.65026855,Al Marakib St,شارع المَراكِب,2005-01-01 00:00:00+00:00,232089.69837376,2711344.71979525,24.492783941347586,54.35653102543824
ADM_0010,ADM,PARK_Abu_Dhabi,EPSG:32640,Urban,حديقة المدينة,District,41484.42816162,Corniche St,شارع الكورنيش,2005-01-01 00:00:00+00:00,231569.07833836,2710845.10132199,24.488179730379564,54.351358424418905
ADM_0011,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 1,حديقة سكنية رقم 1,Neighbourhood,380.13317871,Al Hisn St,شارع الحِصِن,2011-01-01 00:00:00+00:00,231657.11303158,2710443.78368988,24.484534189171924,54.35232731972165
ADM_0012,ADM,PARK_Abu_Dhabi,EPSG:32640,Family Park B,حديقة العائلة - ب,District,56224.63452148,Khalid Bin Al Waleed St,شارع خالد بن الوليد,2005-01-01 00:00:00+00:00,231326.52621003,2710362.60072292,24.483649360160786,54.34906075105477
ADM_0013,ADM,PARK_Abu_Dhabi,EPSG:32640,Family Park A,حديقة العائلة - أ,District,107114.77459717,Hamdan Bin Mohammed St,شارع حمدان بن محمد,2004-01-01 00:00:00+00:00,231188.41109655,2709865.95323749,24.479328518836905,54.34765033612049
ADM_0014,ADM,PARK_Abu_Dhabi,EPSG:32640,ABELA Park,حديقة أبيلا,District,7066.56170654,Al Mireejib St,شارع المِرِيجِب,1982-01-01 00:00:00+00:00,231130.16794756,2709474.87302104,24.475669527380965,54.34731093108529
ADM_0015,ADM,PARK_Abu_Dhabi,EPSG:32640,Al Sajiy park,حديقة السجي,Neighbourhood,12804.01953125,Corniche St,شارع الكورنيش,2006-01-01 00:00:00+00:00,230221.28632894,2708977.11265735,24.470954588806052,54.338204746611524
ADM_0016,ADM,PARK_Abu_Dhabi,EPSG:32640,Al Boom Park,حديقة البوم,Neighbourhood,22626.13018799,Nadd Al Shiba St,شارع ند الشِّبا,2006-01-01 00:00:00+00:00,229866.17029529,2708742.2900186,24.468926597754315,54.334940922655306
ADM_0017,ADM,PARK_Abu_Dhabi,EPSG:32640,W45,حديقة غرب 45,Neighbourhood,18761.93157959,Al Maqar St,شارع المَقَر,1981-01-01 00:00:00+00:00,229586.2419126,2708461.35367869,24.466290265933598,54.33230647596864
ADM_0018,ADM,PARK_Abu_Dhabi,EPSG:32640,AL Nawfal park,حديقة النوفل,Neighbourhood,11635.03363037,Corniche St,شارع الكورنيش,2006-01-01 00:00:00+00:00,229491.39155931,2708527.10191312,24.46698322706621,54.33152228042701
ADM_0019,ADM,PARK_Abu_Dhabi,EPSG:32640,Bainunah Park,حديقة بينونة,District,50228.7354126,Al Ahkam St,شارع الأَحْكَام,2019-01-01 00:00:00+00:00,229170.91689677,2707823.64771673,24.460446969218594,54.32814606867679
ADM_0020,ADM,PARK_Abu_Dhabi,EPSG:32640,Public Park,حديقة عامة,Neighbourhood,7727.46002197,Al Rumouz St,شارع الرُّمُوز,2010-01-01 00:00:00+00:00,229026.28659285,2707956.89585155,24.461617436324662,54.32685211279675
ADM_0021,ADM,PARK_Abu_Dhabi,EPSG:32640,Children and Woman Garden,حديقة النساء والأطفال-حديقة الشيخة فاطمة,Neighbourhood,45426.55194092,Al Bateen St,شارع البطين,1978-01-01 00:00:00+00:00,230127.45921682,2708544.80532848,24.467074767223572,54.3376991573352
ADM_0022,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park No. W10,حديقة سكنية رقم W10,Neighbourhood,1997.65960693,Jabal Houq St,شارع جَبَل حُوق,2011-01-01 00:00:00+00:00,230409.3884413,2708725.07473034,24.46881380991897,54.34034992458874
ADM_0023,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 4,حديقة سكنية رقم 4,Neighbourhood,599.74609375,Al Dabbas St,شارع الدَّبَّاس,2011-01-01 00:00:00+00:00,231383.54382662,2708427.99733175,24.466300393461495,54.350011398161314
ADM_0024,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 6,حديقة سكنية رقم 6,Neighbourhood,600.13873291,Al Dabbas St,شارع الدَّبَّاس,2011-01-01 00:00:00+00:00,231208.82818571,2708463.1293742,24.466587122537177,54.34828259006621
ADM_0025,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 5,حديقة سكنية رقم 5,Neighbourhood,399.68121338,Al Dabbas St,شارع الدَّبَّاس,2011-01-01 00:00:00+00:00,231310.6685,2708502.3922,24.46695898126285,54.34927901561203
ADM_0026,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 7,حديقة سكنية رقم 7,Neighbourhood,599.94116211,Al Dabbas St,شارع الدَّبَّاس,2011-01-01 00:00:00+00:00,231316.19052383,2708335.93690421,24.465458180283573,54.34936492017524
ADM_0027,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 3,حديقة سكنية رقم 3,Neighbourhood,300.0859375,Al Dabbas St,شارع الدَّبَّاس,2011-01-01 00:00:00+00:00,231480.41283001,2708292.29031818,24.46509279295692,54.350991882489055
ADM_0028,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 15,حديقة سكنية رقم 15,Neighbourhood,2566.06555176,Al Falah St,شارع الفلاح,2011-01-01 00:00:00+00:00,231373.13859686,2708059.26111705,24.46299102213883,54.349954347524786
ADM_0029,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 16,حديقة سكنية رقم 16,Neighbourhood,3227.5581665,Al Mutanami St,شارع المُتَنَامِي,2011-01-01 00:00:00+00:00,231577.64800197,2708241.79423217,24.464678446051842,54.351958134017735
ADM_0030,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park-14,حديقة سكنية رقم 14,Neighbourhood,3813.50421143,Al Qasbah St,شارع القَصْبَاة,2012-01-01 00:00:00+00:00,230967.05260131,2707685.4100243,24.459529259704144,54.34602663979279
ADM_0031,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 28,حديقة سكنية رقم 28,Neighbourhood,380.12231445,Al Quoz St,شارع القُوز,2012-01-01 00:00:00+00:00,230241.20020221,2707731.22345161,24.459816141130055,54.33888353509705
ADM_0032,ADM,PARK_Abu_Dhabi,EPSG:32640,Al Bateen Park,حديقة البطين,Neighbourhood,4926.97406006,King Abdullah bin Abdulaziz Al Saud St,شارع الملك عبدالله بن عبدالعزيز آل سعود,2020-01-01 00:00:00+00:00,230559.26620095,2707374.78105278,24.45663780644498,54.34201749389297
ADM_0033,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park-29,حديقة سكنية رقم 29,Neighbourhood,379.58825684,Had Al Mishad St,شارع حَد المِشَد,1978-01-01 00:00:00+00:00,231019.02312851,2707240.96112753,24.45552785198021,54.34664284902781
ADM_0034,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 22,حديقة سكنية رقم 22,Neighbourhood,5864.01965332,Al Hayali St,شارع الهَيَّالي,2012-01-01 00:00:00+00:00,231884.34039502,2707032.15760894,24.45379995257175,54.35520824676865
ADM_0035,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 19,حديقة سكنية رقم 19,Neighbourhood,219.23565674,Al Mutaqarib St,شارع المتقارب,2010-01-01 00:00:00+00:00,232162.94338363,2707400.74419085,24.45716695348767,54.35788760370182
ADM_0036,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 21,حديقة سكنية رقم 21,Neighbourhood,432.08764648,Al Mutaqarib St,شارع المتقارب,2011-01-01 00:00:00+00:00,232378.2452,2707104.54455,24.454531765702065,54.36006534405033
ADM_0037,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 20A,منتزه 20أ,Neighbourhood,256.00335693,Khalifa Bin Shakhbout St,شارع خليفه بن شخبوط,2011-01-01 00:00:00+00:00,232582.41340751,2707096.33653763,24.454492858873195,54.36207921386917
ADM_0038,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 20,حديقة سكنية رقم 20,Neighbourhood,208.70037842,Khalifa Bin Shakhbout St,شارع خليفه بن شخبوط,2011-01-01 00:00:00+00:00,232657.24506862,2707160.00128849,24.45508220637277,54.36280675448215
ADM_0039,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 23,حديقة سكنية رقم 23,Neighbourhood,3449.66381836,Al Qurm St,شارع القُرْم,2012-01-01 00:00:00+00:00,232241.93960097,2706610.74618068,24.450047075310945,54.35882020370817
ADM_0040,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 10,حديقة سكنية رقم 10,Neighbourhood,682.07061768,Al Mu'jizat St,شارع المُعْجِزَات,2011-01-01 00:00:00+00:00,232921.83471781,2708390.71039892,24.466231516358377,54.36518236340882
ADM_0041,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 17,حديقة سكنية رقم 17,Neighbourhood,258.83074951,Al Fikr St,شارع الفكر,2011-01-01 00:00:00+00:00,232453.9385,2707779.6155,24.460635370746722,54.36068440624982
ADM_0042,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 8,حديقة سكنية رقم 8,Neighbourhood,420.44641113,Tishalah St,شارع تِشَّالَة,2011-01-01 00:00:00+00:00,231098.18185042,2708886.45818266,24.47038727595042,54.34711181914139
ADM_0043,ADM,PARK_Abu_Dhabi,EPSG:32640,Plant Exhibition Garden,حديقة المعرض النباتي,Neighbourhood,1851.79608154,Al Mawkib St,شارع المَوْكِب,2022-01-12 00:00:00+00:00,233929.80569024,2710943.23044442,24.48944448632825,54.37462928453567
ADM_0044,ADM,PARK_Abu_Dhabi,EPSG:32640,Pocket Park 39,حديقة سكنية رقم 39,Neighbourhood,379.96740723,Al Jali St,شارع الجَالِي,2011-01-01 00:00:00+00:00,233446.9276,2710415.70275,24.48458928990268,54.36997760219076
